method,filename,extension,content_size,information_density,compression_ratio
huffman,abracadabra,txt,11,7.333333333333333,3.6666666666666665
huffman,abracadabra,txt,11,7.333333333333333,3.6666666666666665
huffman,abracadabra,txt,11,7.333333333333333,3.6666666666666665
